measurement,time,value
delivered,2022-08-01 07:00:00, 0.38
delivered,2022-08-01 07:15:00, 0.38
delivered,2022-08-01 07:30:00, 0.38
delivered,2022-08-01 07:45:00, 0.38
delivered,2022-08-01 08:00:00, 0.36
delivered,2022-08-01 08:15:00, 0.33
delivered,2022-08-01 08:30:00, 0.35
delivered,2022-08-01 08:45:00, 0.38
delivered,2022-08-01 09:00:00, 0.38
delivered,2022-08-01 09:15:00, 0.37
delivered,2022-08-01 09:30:00, 0.37
delivered,2022-08-01 09:45:00, 0.37
delivered,2022-08-01 10:00:00, 0.37
delivered,2022-08-01 10:15:00, 0.35
delivered,2022-08-01 10:30:00, 0.34
delivered,2022-08-01 10:45:00, 0.37
delivered,2022-08-01 11:00:00, 0.37
delivered,2022-08-01 11:15:00, 0.37
delivered,2022-08-01 11:30:00, 0.37
delivered,2022-08-01 11:45:00, 0.37
delivered,2022-08-01 12:00:00, 0.36
delivered,2022-08-01 12:15:00, 0.35
delivered,2022-08-01 12:30:00, 0.34
delivered,2022-08-01 12:45:00, 0.38
delivered,2022-08-01 13:00:00, 0.38
delivered,2022-08-01 13:15:00, 0.35
delivered,2022-08-01 13:30:00, 0.28
delivered,2022-08-01 13:45:00, 0.23
delivered,2022-08-01 14:00:00, 0.19
delivered,2022-08-01 14:15:00, 0.2
delivered,2022-08-01 14:30:00, 0.61
delivered,2022-08-01 14:45:00, 0.8
delivered,2022-08-01 15:00:00, 0.27
delivered,2022-08-01 15:15:00, 0.22
delivered,2022-08-01 15:30:00, 0.19
delivered,2022-08-01 15:45:00, 0.14
delivered,2022-08-01 16:00:00, 0.01
delivered,2022-08-01 16:15:00, 0.0
delivered,2022-08-01 16:30:00, 0.0
delivered,2022-08-01 16:45:00, 0.0
delivered,2022-08-01 17:00:00, 0.0
delivered,2022-08-01 17:15:00, 0.0
delivered,2022-08-01 17:30:00, 0.0
delivered,2022-08-01 17:45:00, 0.0
delivered,2022-08-01 18:00:00, 0.0
delivered,2022-08-01 18:15:00, 0.0
delivered,2022-08-01 18:30:00, 0.0
delivered,2022-08-01 18:45:00, 0.0
delivered,2022-08-01 19:00:00, 0.0
delivered,2022-08-01 19:15:00, 0.0
delivered,2022-08-01 19:30:00, 0.0
delivered,2022-08-01 19:45:00, 0.97
delivered,2022-08-01 20:00:00, 0.8
delivered,2022-08-01 20:15:00, 0.0
delivered,2022-08-01 20:30:00, 0.48
delivered,2022-08-01 20:45:00, 0.02
delivered,2022-08-01 21:00:00, 0.18
delivered,2022-08-01 21:15:00, 0.01
delivered,2022-08-01 21:30:00, 0.29
delivered,2022-08-01 21:45:00, 0.32
