measurement,time,value
delivered,2022-07-11 07:00:00, 0.27
delivered,2022-07-11 07:15:00, 0.27
delivered,2022-07-11 07:30:00, 0.28
delivered,2022-07-11 07:45:00, 0.29
delivered,2022-07-11 08:00:00, 0.29
delivered,2022-07-11 08:15:00, 0.29
delivered,2022-07-11 08:30:00, 0.29
delivered,2022-07-11 08:45:00, 0.32
delivered,2022-07-11 09:00:00, 0.33
delivered,2022-07-11 09:15:00, 0.27
delivered,2022-07-11 09:30:00, 0.3
delivered,2022-07-11 09:45:00, 0.3
delivered,2022-07-11 10:00:00, 0.3
delivered,2022-07-11 10:15:00, 0.3
delivered,2022-07-11 10:30:00, 0.3
delivered,2022-07-11 10:45:00, 0.3
delivered,2022-07-11 11:00:00, 0.35
delivered,2022-07-11 11:15:00, 0.3
delivered,2022-07-11 11:30:00, 0.3
delivered,2022-07-11 11:45:00, 0.33
delivered,2022-07-11 12:00:00, 0.34
delivered,2022-07-11 12:15:00, 0.34
delivered,2022-07-11 12:30:00, 0.34
delivered,2022-07-11 12:45:00, 0.34
delivered,2022-07-11 13:00:00, 0.3
delivered,2022-07-11 13:15:00, 0.29
delivered,2022-07-11 13:30:00, 0.31
delivered,2022-07-11 13:45:00, 0.3
delivered,2022-07-11 14:00:00, 0.45
delivered,2022-07-11 14:15:00, 1.16
delivered,2022-07-11 14:30:00, 0.29
delivered,2022-07-11 14:45:00, 1.22
delivered,2022-07-11 15:00:00, 0.23
delivered,2022-07-11 15:15:00, 0.12
delivered,2022-07-11 15:30:00, 0.88
delivered,2022-07-11 15:45:00, 0.14
delivered,2022-07-11 16:00:00, 0.0
delivered,2022-07-11 16:15:00, 0.69
delivered,2022-07-11 16:30:00, 0.11
delivered,2022-07-11 16:45:00, 0.48
delivered,2022-07-11 17:00:00, 0.05
delivered,2022-07-11 17:15:00, 0.39
delivered,2022-07-11 17:30:00, 0.03
delivered,2022-07-11 17:45:00, 0.0
delivered,2022-07-11 18:00:00, 0.0
delivered,2022-07-11 18:15:00, 0.05
delivered,2022-07-11 18:30:00, 0.08
delivered,2022-07-11 18:45:00, 0.01
delivered,2022-07-11 19:00:00, 0.0
delivered,2022-07-11 19:15:00, 0.0
delivered,2022-07-11 19:30:00, 0.0
delivered,2022-07-11 19:45:00, 0.0
delivered,2022-07-11 20:00:00, 0.0
delivered,2022-07-11 20:15:00, 0.0
delivered,2022-07-11 20:30:00, 0.0
delivered,2022-07-11 20:45:00, 0.0
delivered,2022-07-11 21:00:00, 0.0
delivered,2022-07-11 21:15:00, 0.0
delivered,2022-07-11 21:30:00, 0.0
delivered,2022-07-11 21:45:00, 0.0
delivered,2022-07-11 22:00:00, 0.0
delivered,2022-07-11 22:15:00, 0.0
delivered,2022-07-11 22:30:00, 0.0
delivered,2022-07-11 22:45:00, 0.0
delivered,2022-07-11 23:00:00, 0.0
delivered,2022-07-11 23:15:00, 0.0
delivered,2022-07-11 23:30:00, 0.0
delivered,2022-07-11 23:45:00, 0.0
delivered,2022-07-12 00:00:00, 0.0
delivered,2022-07-12 00:15:00, 0.0
delivered,2022-07-12 00:30:00, 0.0
delivered,2022-07-12 00:45:00, 0.0
delivered,2022-07-12 01:00:00, 0.02
delivered,2022-07-12 01:15:00, 0.21
delivered,2022-07-12 01:30:00, 0.0
delivered,2022-07-12 01:45:00, 0.41
delivered,2022-07-12 02:00:00, 0.09
delivered,2022-07-12 02:15:00, 0.59
delivered,2022-07-12 02:30:00, 0.19
delivered,2022-07-12 02:45:00, 0.05
delivered,2022-07-12 03:00:00, 0.13
delivered,2022-07-12 03:15:00, 0.13
delivered,2022-07-12 03:30:00, 0.11
delivered,2022-07-12 03:45:00, 0.12
delivered,2022-07-12 04:00:00, 0.1
delivered,2022-07-12 04:15:00, 0.1
delivered,2022-07-12 04:30:00, 0.12
delivered,2022-07-12 04:45:00, 0.13
delivered,2022-07-12 05:00:00, 0.27
delivered,2022-07-12 05:15:00, 0.26
delivered,2022-07-12 05:30:00, 0.26
delivered,2022-07-12 05:45:00, 0.26
delivered,2022-07-12 06:00:00, 0.23
delivered,2022-07-12 06:15:00, 0.25
delivered,2022-07-12 06:30:00, 0.27
delivered,2022-07-12 06:45:00, 0.27
generated,2022-07-11 07:00:00, -0.0
generated,2022-07-11 07:15:00, -0.0
generated,2022-07-11 07:30:00, -0.0
generated,2022-07-11 07:45:00, -0.0
generated,2022-07-11 08:00:00, -0.0
generated,2022-07-11 08:15:00, -0.0
generated,2022-07-11 08:30:00, -0.0
generated,2022-07-11 08:45:00, -0.0
generated,2022-07-11 09:00:00, -0.0
generated,2022-07-11 09:15:00, -0.0
generated,2022-07-11 09:30:00, -0.0
generated,2022-07-11 09:45:00, -0.0
generated,2022-07-11 10:00:00, -0.0
generated,2022-07-11 10:15:00, -0.0
generated,2022-07-11 10:30:00, -0.0
generated,2022-07-11 10:45:00, -0.0
generated,2022-07-11 11:00:00, -0.0
generated,2022-07-11 11:15:00, -0.0
generated,2022-07-11 11:30:00, -0.0
generated,2022-07-11 11:45:00, -0.0
generated,2022-07-11 12:00:00, -0.0
generated,2022-07-11 12:15:00, -0.0
generated,2022-07-11 12:30:00, -0.0
generated,2022-07-11 12:45:00, -0.0
generated,2022-07-11 13:00:00, -0.0
generated,2022-07-11 13:15:00, -0.0
generated,2022-07-11 13:30:00, -0.0
generated,2022-07-11 13:45:00, -0.0
generated,2022-07-11 14:00:00, -0.0
generated,2022-07-11 14:15:00, -0.0
generated,2022-07-11 14:30:00, -0.0
generated,2022-07-11 14:45:00, -0.0
generated,2022-07-11 15:00:00, -0.0
generated,2022-07-11 15:15:00, -0.0
generated,2022-07-11 15:30:00, -0.0
generated,2022-07-11 15:45:00, -0.05
generated,2022-07-11 16:00:00, -0.19
generated,2022-07-11 16:15:00, -0.05
generated,2022-07-11 16:30:00, -0.35
generated,2022-07-11 16:45:00, -0.11
generated,2022-07-11 17:00:00, -0.58
generated,2022-07-11 17:15:00, -0.1
generated,2022-07-11 17:30:00, -0.73
generated,2022-07-11 17:45:00, -0.96
generated,2022-07-11 18:00:00, -1.1
generated,2022-07-11 18:15:00, -0.5
generated,2022-07-11 18:30:00, -0.0
generated,2022-07-11 18:45:00, -1.16
generated,2022-07-11 19:00:00, -0.34
generated,2022-07-11 19:15:00, -0.6
generated,2022-07-11 19:30:00, -1.41
generated,2022-07-11 19:45:00, -1.43
generated,2022-07-11 20:00:00, -1.5
generated,2022-07-11 20:15:00, -1.54
generated,2022-07-11 20:30:00, -1.6
generated,2022-07-11 20:45:00, -1.68
generated,2022-07-11 21:00:00, -1.68
generated,2022-07-11 21:15:00, -1.67
generated,2022-07-11 21:30:00, -1.67
generated,2022-07-11 21:45:00, -1.68
generated,2022-07-11 22:00:00, -1.81
generated,2022-07-11 22:15:00, -1.81
generated,2022-07-11 22:30:00, -1.8
generated,2022-07-11 22:45:00, -1.75
generated,2022-07-11 23:00:00, -1.72
generated,2022-07-11 23:15:00, -1.66
generated,2022-07-11 23:30:00, -1.62
generated,2022-07-11 23:45:00, -0.95
generated,2022-07-12 00:00:00, -0.81
generated,2022-07-12 00:15:00, -1.43
generated,2022-07-12 00:30:00, -0.76
generated,2022-07-12 00:45:00, -0.56
generated,2022-07-12 01:00:00, -1.05
generated,2022-07-12 01:15:00, -0.06
generated,2022-07-12 01:30:00, -0.87
generated,2022-07-12 01:45:00, -0.12
generated,2022-07-12 02:00:00, -0.46
generated,2022-07-12 02:15:00, -0.12
generated,2022-07-12 02:30:00, -0.11
generated,2022-07-12 02:45:00, -0.01
generated,2022-07-12 03:00:00, -0.0
generated,2022-07-12 03:15:00, -0.0
generated,2022-07-12 03:30:00, -0.0
generated,2022-07-12 03:45:00, -0.0
generated,2022-07-12 04:00:00, -0.0
generated,2022-07-12 04:15:00, -0.0
generated,2022-07-12 04:30:00, -0.0
generated,2022-07-12 04:45:00, -0.0
generated,2022-07-12 05:00:00, -0.0
generated,2022-07-12 05:15:00, -0.0
generated,2022-07-12 05:30:00, -0.0
generated,2022-07-12 05:45:00, -0.0
generated,2022-07-12 06:00:00, -0.0
generated,2022-07-12 06:15:00, -0.0
generated,2022-07-12 06:30:00, -0.0
generated,2022-07-12 06:45:00, -0.0
delivered,2022-07-12 07:00:00, 0.27
delivered,2022-07-12 07:15:00, 0.27
delivered,2022-07-12 07:30:00, 0.27
